Animal,Breed,Age,Gender,Health Condition,Size,Color,Location,Training,Popularity,Price
Cat,Sphynx,8,Male,Sick,Large,Black,Canada,Well Trained,Medium,209.3
Cat,Sphynx,12,Female,Vaccinated,Small,Spotted,France,Basic Training,High,260.0
Bird,Canary,4,Male,Vaccinated,Small,Spotted,USA,Highly Trained,High,221.0
Rabbit,Angora,5,Male,Healthy,Small,Grey,India,Basic Training,High,155.0
Bird,Finch,4,Female,Special Needs,Medium,Black,USA,Basic Training,Low,45.0
Hamster,Chinese,5,Female,Special Needs,Large,Mixed,Australia,Highly Trained,Low,52.0
Bird,Cockatiel,15,Female,Special Needs,Medium,Brown,USA,Untrained,Low,72.5
Rabbit,Netherland Dwarf,5,Female,Healthy,Large,Golden,Canada,Untrained,Low,95.0
Bird,Finch,2,Male,Sick,Small,Black,Australia,Highly Trained,Medium,100.1
Rabbit,Netherland Dwarf,6,Male,Special Needs,Medium,Spotted,India,Highly Trained,Medium,84.5
Hamster,Syrian,9,Male,Vaccinated,Large,Grey,France,Untrained,Low,100.0
Rabbit,Holland Lop,7,Female,Special Needs,Large,Golden,Australia,Untrained,Low,52.5
Rabbit,Netherland Dwarf,7,Female,Healthy,Medium,Mixed,India,Highly Trained,Low,110.5
Dog,Poodle,13,Female,Healthy,Small,White,Australia,Well Trained,High,474.5
Rabbit,Flemish Giant,2,Female,Healthy,Small,Spotted,UK,Well Trained,Medium,117.0
Rabbit,Mini Rex,1,Male,Vaccinated,Large,Black,Australia,Untrained,Low,75.0
Rabbit,Angora,3,Female,Sick,Large,Grey,India,Untrained,Low,59.5
Rabbit,Netherland Dwarf,14,Male,Special Needs,Large,Mixed,Australia,Basic Training,Medium,95.0
Dog,Bulldog,5,Male,Special Needs,Small,White,India,Well Trained,High,211.25
Bird,Cockatiel,10,Male,Sick,Small,Spotted,Canada,Basic Training,Medium,105.0
Bird,Canary,12,Female,Healthy,Medium,White,Australia,Highly Trained,Low,169.0
Dog,Bulldog,7,Male,Special Needs,Medium,Grey,Canada,Untrained,High,177.5
Hamster,Chinese,11,Male,Healthy,Medium,Mixed,Australia,Untrained,Low,90.0
Dog,Poodle,15,Male,Special Needs,Medium,White,Germany,Highly Trained,Medium,224.25
Bird,Macaw,15,Male,Sick,Small,Spotted,Canada,Highly Trained,Medium,159.25
Dog,Golden Retriever,3,Female,Healthy,Medium,Black,Australia,Basic Training,High,335.0
Bird,Cockatiel,6,Male,Vaccinated,Medium,Black,Australia,Basic Training,Medium,150.0
Cat,Bengal,13,Female,Vaccinated,Small,Brown,UK,Highly Trained,Low,214.5
Hamster,Dwarf,12,Female,Special Needs,Medium,Golden,Germany,Untrained,Low,47.5
Hamster,Campbell's,13,Male,Healthy,Medium,Grey,Australia,Basic Training,Low,100.0
Cat,Maine Coon,8,Female,Healthy,Small,Brown,Australia,Basic Training,Low,140.0
Hamster,Roborovski,1,Female,Sick,Small,Mixed,Australia,Untrained,High,84.0
Dog,Bulldog,12,Male,Special Needs,Medium,Golden,UK,Well Trained,Medium,214.5
Rabbit,Angora,5,Female,Sick,Medium,Brown,Australia,Well Trained,High,159.25
Rabbit,Flemish Giant,12,Female,Special Needs,Large,Mixed,USA,Untrained,Medium,90.0
Rabbit,Flemish Giant,13,Female,Healthy,Large,Golden,Canada,Untrained,High,235.0
Bird,Parrot,5,Male,Special Needs,Large,Golden,UK,Basic Training,Medium,82.5
Cat,Maine Coon,3,Male,Vaccinated,Medium,Mixed,Australia,Well Trained,Low,175.5
Bird,Parrot,5,Female,Healthy,Large,Spotted,UK,Untrained,Medium,165.0
Cat,Maine Coon,9,Male,Special Needs,Large,Black,USA,Untrained,High,142.5
Dog,Poodle,9,Male,Sick,Small,Black,Germany,Well Trained,High,313.95
Dog,Golden Retriever,9,Male,Sick,Large,Spotted,Australia,Highly Trained,High,350.35
Rabbit,Flemish Giant,2,Male,Healthy,Medium,Golden,Australia,Highly Trained,Medium,143.0
Rabbit,Angora,15,Female,Special Needs,Medium,Brown,Canada,Highly Trained,Low,81.25
Bird,Canary,12,Male,Vaccinated,Medium,Black,UK,Highly Trained,Low,169.0
Bird,Macaw,5,Male,Healthy,Small,Grey,Germany,Highly Trained,Low,97.5
Bird,Finch,2,Female,Healthy,Large,Golden,India,Untrained,Medium,150.0
Dog,Poodle,9,Female,Special Needs,Large,Spotted,France,Well Trained,High,250.25
Rabbit,Netherland Dwarf,5,Male,Healthy,Small,Brown,Australia,Untrained,High,155.0
Dog,Labrador,13,Male,Sick,Medium,Black,Germany,Untrained,High,269.5
Rabbit,Flemish Giant,6,Male,Special Needs,Small,Brown,Germany,Untrained,Low,30.0
Cat,Persian,6,Female,Vaccinated,Medium,Grey,India,Untrained,Medium,200.0
Cat,Sphynx,9,Female,Vaccinated,Large,White,Australia,Highly Trained,Low,240.5
Rabbit,Flemish Giant,6,Female,Healthy,Large,Mixed,France,Basic Training,Medium,150.0
Rabbit,Angora,5,Male,Sick,Medium,Mixed,Australia,Basic Training,Medium,87.5
Rabbit,Netherland Dwarf,6,Male,Healthy,Large,White,France,Highly Trained,Medium,195.0
Dog,Labrador,10,Male,Vaccinated,Medium,Black,Germany,Basic Training,Low,270.0
Cat,Bengal,13,Female,Sick,Small,Golden,USA,Highly Trained,Medium,195.65
Cat,Maine Coon,13,Female,Healthy,Large,Mixed,India,Basic Training,Medium,255.0
Cat,Siamese,10,Male,Healthy,Small,Brown,India,Highly Trained,Medium,260.0
Dog,Labrador,8,Female,Sick,Small,White,Australia,Highly Trained,Medium,263.9
Hamster,Roborovski,8,Female,Vaccinated,Large,Black,Canada,Untrained,Low,95.0
Dog,Golden Retriever,11,Male,Vaccinated,Small,Spotted,Australia,Highly Trained,Low,331.5
Dog,Poodle,6,Male,Healthy,Small,Brown,India,Basic Training,Low,230.0
Hamster,Dwarf,7,Female,Special Needs,Medium,Black,Australia,Untrained,Low,35.0
Cat,Maine Coon,13,Female,Sick,Medium,Brown,Australia,Well Trained,Low,168.35
Bird,Macaw,1,Male,Vaccinated,Large,Spotted,Germany,Highly Trained,High,253.5
Cat,Siamese,9,Female,Special Needs,Large,Brown,India,Highly Trained,High,185.25
Hamster,Chinese,12,Male,Special Needs,Small,Brown,Germany,Basic Training,Medium,62.5
Hamster,Campbell's,9,Female,Sick,Large,Spotted,Canada,Basic Training,Low,70.0
Hamster,Campbell's,4,Female,Special Needs,Large,Mixed,Australia,Highly Trained,Low,48.75
Dog,Golden Retriever,13,Female,Healthy,Large,Spotted,Germany,Untrained,Medium,355.0
Hamster,Syrian,5,Female,Healthy,Medium,White,USA,Highly Trained,Low,78.0
Cat,Persian,8,Male,Healthy,Large,Brown,France,Basic Training,Low,180.0
Hamster,Campbell's,4,Female,Sick,Large,White,France,Untrained,High,122.5
Dog,Beagle,3,Female,Sick,Small,Black,India,Untrained,Medium,185.5
Cat,Bengal,4,Female,Healthy,Medium,Black,Canada,Highly Trained,Medium,247.0
Bird,Macaw,9,Female,Healthy,Medium,Mixed,Australia,Basic Training,High,215.0
Rabbit,Angora,13,Female,Healthy,Small,Grey,USA,Well Trained,High,253.5
Hamster,Chinese,6,Male,Healthy,Large,Brown,Germany,Untrained,High,185.0
Dog,Poodle,7,Female,Special Needs,Small,Brown,Australia,Well Trained,High,217.75
Bird,Parrot,13,Female,Sick,Large,Spotted,USA,Basic Training,Low,108.5
Bird,Parrot,10,Male,Healthy,Large,Spotted,USA,Well Trained,Medium,247.0
Cat,Bengal,12,Male,Healthy,Small,Black,USA,Highly Trained,Low,208.0
Dog,Poodle,7,Male,Sick,Large,Spotted,UK,Untrained,High,262.5
Hamster,Syrian,11,Male,Special Needs,Large,White,France,Highly Trained,High,136.5
Dog,Bulldog,5,Male,Sick,Medium,Spotted,Australia,Highly Trained,Medium,268.45
Cat,Persian,1,Male,Special Needs,Large,Brown,France,Well Trained,Low,94.25
Bird,Parrot,5,Male,Sick,Large,Mixed,USA,Untrained,Low,80.5
Hamster,Roborovski,14,Female,Vaccinated,Medium,Grey,Germany,Basic Training,Medium,155.0
Rabbit,Holland Lop,3,Female,Vaccinated,Small,Brown,India,Highly Trained,High,188.5
Hamster,Syrian,10,Male,Sick,Small,Mixed,Australia,Well Trained,Low,59.15
Cat,Siamese,12,Female,Healthy,Medium,Black,USA,Untrained,Low,180.0
Hamster,Campbell's,14,Male,Healthy,Large,Black,Germany,Highly Trained,Medium,227.5
Bird,Canary,14,Female,Sick,Small,White,Germany,Untrained,Low,84.0
Cat,Siamese,10,Female,Special Needs,Large,Spotted,Canada,Highly Trained,High,188.5
Bird,Finch,15,Female,Special Needs,Large,Black,Germany,Highly Trained,Medium,139.75
Hamster,Campbell's,4,Male,Sick,Large,White,France,Untrained,High,122.5
Bird,Parrot,5,Female,Special Needs,Large,Brown,USA,Untrained,High,107.5
Cat,Maine Coon,3,Female,Healthy,Medium,Spotted,USA,Highly Trained,High,305.5
Bird,Cockatiel,5,Female,Sick,Large,Grey,Canada,Highly Trained,Low,104.65
Hamster,Roborovski,7,Female,Vaccinated,Small,Black,France,Highly Trained,Medium,130.0
Cat,Maine Coon,14,Female,Sick,Small,Spotted,Germany,Untrained,Medium,154.0
Hamster,Chinese,3,Male,Healthy,Small,Golden,USA,Untrained,Low,30.0
Dog,Poodle,2,Female,Vaccinated,Small,Brown,India,Highly Trained,High,403.0
Hamster,Chinese,7,Female,Sick,Small,Grey,Germany,Basic Training,High,105.0
Rabbit,Angora,15,Female,Sick,Small,Mixed,France,Well Trained,High,186.55
Hamster,Chinese,6,Male,Special Needs,Medium,Grey,Germany,Untrained,High,82.5
Bird,Macaw,2,Male,Healthy,Large,Brown,France,Well Trained,Low,130.0
Rabbit,Netherland Dwarf,6,Male,Special Needs,Medium,Mixed,UK,Basic Training,High,90.0
Dog,Golden Retriever,5,Female,Special Needs,Large,Golden,France,Highly Trained,High,237.25
Dog,Beagle,12,Female,Sick,Small,Golden,India,Untrained,Medium,217.0
Dog,Beagle,8,Male,Sick,Small,Golden,Canada,Highly Trained,Low,218.4
Hamster,Dwarf,11,Male,Sick,Small,Golden,Germany,Basic Training,Medium,84.0
Rabbit,Holland Lop,11,Female,Healthy,Medium,Brown,Canada,Untrained,High,205.0
Dog,Poodle,1,Female,Vaccinated,Medium,Spotted,Germany,Basic Training,Medium,275.0
Dog,Beagle,12,Male,Special Needs,Large,White,Germany,Untrained,Low,150.0
Dog,Beagle,7,Male,Special Needs,Medium,Brown,India,Well Trained,High,230.75
Dog,Labrador,8,Female,Special Needs,Large,Golden,UK,Untrained,High,190.0
Bird,Parrot,12,Female,Vaccinated,Medium,Black,UK,Well Trained,Medium,234.0
Cat,Maine Coon,7,Female,Vaccinated,Large,White,USA,Highly Trained,Medium,292.5
Rabbit,Angora,15,Male,Vaccinated,Small,White,Australia,Untrained,Medium,155.0
Hamster,Campbell's,10,Female,Special Needs,Large,Spotted,Canada,Highly Trained,Low,68.25
Cat,Maine Coon,8,Female,Healthy,Medium,Black,UK,Untrained,Medium,210.0
Cat,Sphynx,2,Female,Healthy,Large,Golden,UK,Highly Trained,Low,195.0
Hamster,Campbell's,11,Female,Vaccinated,Small,White,Germany,Basic Training,Low,70.0
Cat,Sphynx,4,Female,Healthy,Medium,Mixed,Canada,Well Trained,Low,182.0
Rabbit,Angora,13,Female,Sick,Small,Golden,Canada,Untrained,High,136.5
Bird,Finch,13,Female,Sick,Medium,Golden,India,Untrained,Low,94.5
Hamster,Dwarf,4,Male,Vaccinated,Medium,Spotted,Germany,Basic Training,Low,55.0
Dog,Bulldog,6,Female,Sick,Small,Golden,France,Basic Training,High,231.0
Rabbit,Angora,2,Male,Vaccinated,Small,Golden,USA,Basic Training,High,140.0
Cat,Sphynx,2,Female,Sick,Large,Mixed,India,Basic Training,Low,105.0
Hamster,Campbell's,9,Female,Sick,Small,Spotted,Canada,Basic Training,Low,42.0
Bird,Parrot,2,Female,Healthy,Small,Mixed,USA,Highly Trained,Low,78.0
Dog,Golden Retriever,9,Female,Special Needs,Medium,Golden,France,Basic Training,Low,132.5
Cat,Maine Coon,13,Male,Special Needs,Medium,White,Canada,Highly Trained,Low,120.25
Bird,Cockatiel,6,Male,Sick,Medium,Brown,Australia,Well Trained,Low,91.0
Dog,Poodle,1,Female,Sick,Large,Golden,India,Well Trained,High,313.95
Rabbit,Netherland Dwarf,15,Male,Vaccinated,Small,Brown,UK,Untrained,Medium,155.0
Bird,Macaw,1,Male,Special Needs,Medium,Brown,USA,Untrained,High,87.5
Dog,Golden Retriever,13,Male,Healthy,Small,Black,Germany,Basic Training,Low,265.0
Rabbit,Netherland Dwarf,13,Male,Vaccinated,Large,Mixed,UK,Well Trained,High,305.5
Bird,Macaw,12,Male,Special Needs,Large,Mixed,India,Basic Training,Medium,100.0
Cat,Maine Coon,12,Male,Healthy,Small,Mixed,France,Highly Trained,High,338.0
Cat,Maine Coon,8,Female,Special Needs,Medium,Brown,UK,Basic Training,Medium,105.0
Rabbit,Flemish Giant,7,Male,Vaccinated,Large,Spotted,France,Well Trained,High,266.5
Cat,Maine Coon,13,Male,Special Needs,Medium,Spotted,Australia,Untrained,Low,92.5
Bird,Parrot,2,Male,Sick,Small,White,USA,Highly Trained,Low,54.6
Cat,Maine Coon,14,Male,Special Needs,Large,Mixed,Australia,Basic Training,Low,105.0
Dog,Golden Retriever,7,Female,Healthy,Medium,Spotted,Germany,Untrained,High,355.0
Hamster,Dwarf,5,Female,Healthy,Large,Grey,France,Highly Trained,Low,104.0
Bird,Cockatiel,9,Female,Healthy,Small,Spotted,USA,Untrained,Low,95.0
Bird,Parrot,2,Female,Special Needs,Small,Golden,USA,Well Trained,Low,39.0
Hamster,Dwarf,8,Male,Healthy,Medium,Spotted,USA,Untrained,Medium,125.0
Rabbit,Angora,12,Male,Vaccinated,Medium,Black,Germany,Well Trained,Low,143.0
Dog,Bulldog,11,Male,Sick,Small,Mixed,India,Highly Trained,Medium,277.55
Rabbit,Netherland Dwarf,12,Male,Vaccinated,Medium,Spotted,UK,Untrained,Medium,160.0
Dog,Labrador,8,Male,Healthy,Large,Golden,India,Basic Training,Low,280.0
Dog,Golden Retriever,7,Male,Sick,Large,Spotted,USA,Well Trained,Low,250.25
Cat,Persian,11,Female,Healthy,Medium,Spotted,USA,Well Trained,Low,227.5
Rabbit,Netherland Dwarf,9,Male,Sick,Large,Golden,Germany,Untrained,Low,80.5
Cat,Persian,11,Female,Healthy,Small,Golden,UK,Highly Trained,High,331.5
Rabbit,Angora,3,Female,Vaccinated,Large,Grey,India,Basic Training,Medium,135.0
Cat,Maine Coon,12,Female,Healthy,Small,Grey,India,Highly Trained,High,338.0
Rabbit,Mini Rex,14,Female,Vaccinated,Large,Black,USA,Highly Trained,Low,182.0
Bird,Canary,7,Female,Special Needs,Medium,Spotted,Canada,Basic Training,High,102.5
Dog,Golden Retriever,4,Female,Healthy,Small,Golden,Germany,Well Trained,Medium,351.0
Cat,Persian,2,Female,Healthy,Large,White,USA,Basic Training,Low,150.0
Dog,Beagle,10,Female,Special Needs,Medium,White,USA,Basic Training,High,185.0
Rabbit,Holland Lop,15,Female,Vaccinated,Medium,Golden,India,Basic Training,High,225.0
Rabbit,Flemish Giant,4,Female,Vaccinated,Medium,Brown,Australia,Well Trained,High,221.0
Hamster,Roborovski,7,Female,Sick,Medium,Brown,USA,Untrained,High,119.0
Bird,Parrot,2,Male,Special Needs,Small,White,USA,Untrained,High,80.0
Dog,Poodle,12,Female,Special Needs,Medium,Mixed,France,Basic Training,High,190.0
Hamster,Dwarf,14,Male,Healthy,Large,Black,UK,Basic Training,High,225.0
Dog,Labrador,8,Male,Special Needs,Small,White,USA,Highly Trained,High,221.0
Rabbit,Angora,2,Male,Sick,Medium,Mixed,France,Basic Training,High,112.0
Bird,Canary,9,Male,Vaccinated,Small,Brown,France,Well Trained,High,253.5
Bird,Parrot,9,Female,Vaccinated,Small,Mixed,Germany,Untrained,High,195.0
Bird,Parrot,6,Male,Special Needs,Medium,Grey,USA,Well Trained,Low,65.0
Dog,Bulldog,7,Male,Healthy,Small,Mixed,Australia,Well Trained,Low,305.5
Bird,Finch,9,Male,Sick,Medium,Brown,France,Basic Training,Low,80.5
Hamster,Chinese,4,Male,Special Needs,Large,Brown,Germany,Basic Training,Low,37.5
Bird,Parrot,11,Female,Sick,Small,Mixed,France,Basic Training,High,143.5
Dog,Labrador,8,Male,Healthy,Medium,White,UK,Highly Trained,Low,338.0
Hamster,Campbell's,12,Male,Special Needs,Medium,Black,Australia,Basic Training,High,97.5
Cat,Bengal,6,Male,Sick,Small,Mixed,UK,Highly Trained,Medium,163.8
Dog,Labrador,10,Female,Vaccinated,Medium,Spotted,France,Well Trained,High,481.0
Hamster,Chinese,7,Male,Vaccinated,Small,White,UK,Well Trained,Medium,130.0
Dog,Bulldog,1,Male,Sick,Large,Black,Australia,Well Trained,Low,222.95
Hamster,Roborovski,8,Male,Special Needs,Small,Golden,UK,Well Trained,Low,35.75
Bird,Finch,8,Female,Vaccinated,Small,Grey,USA,Highly Trained,Medium,182.0
Hamster,Dwarf,7,Male,Special Needs,Medium,Spotted,USA,Well Trained,Low,45.5
Cat,Bengal,15,Male,Sick,Medium,White,France,Untrained,Medium,171.5
Cat,Sphynx,12,Female,Vaccinated,Large,Grey,USA,Highly Trained,Low,260.0
Rabbit,Flemish Giant,6,Female,Vaccinated,Medium,White,France,Untrained,High,180.0
Rabbit,Angora,7,Male,Healthy,Small,Brown,Germany,Well Trained,High,214.5
Dog,Poodle,14,Male,Sick,Large,Mixed,UK,Highly Trained,Low,282.1
Hamster,Syrian,13,Female,Sick,Large,Golden,Australia,Untrained,Medium,119.0
Dog,Labrador,1,Female,Healthy,Medium,Golden,USA,Well Trained,Medium,357.5
Cat,Sphynx,5,Male,Sick,Large,Grey,UK,Untrained,High,185.5
Hamster,Syrian,6,Male,Special Needs,Large,Golden,Germany,Basic Training,Medium,67.5
Bird,Parrot,7,Female,Sick,Medium,Mixed,France,Well Trained,Low,95.55
Rabbit,Holland Lop,2,Female,Special Needs,Large,Spotted,USA,Untrained,Medium,65.0
Cat,Persian,13,Male,Special Needs,Large,White,Australia,Basic Training,High,152.5
Cat,Maine Coon,11,Male,Sick,Large,White,Australia,Basic Training,Medium,171.5
Rabbit,Mini Rex,15,Female,Sick,Medium,Black,Germany,Highly Trained,Low,113.75
Bird,Macaw,13,Male,Special Needs,Small,Mixed,France,Well Trained,High,139.75
Rabbit,Mini Rex,8,Male,Healthy,Large,White,France,Untrained,Low,110.0
Bird,Cockatiel,13,Male,Healthy,Small,Grey,Germany,Basic Training,Low,115.0
Rabbit,Mini Rex,7,Male,Vaccinated,Small,Spotted,France,Untrained,Low,65.0
Bird,Cockatiel,15,Male,Sick,Medium,Black,Australia,Highly Trained,Low,131.95
Bird,Parrot,12,Female,Vaccinated,Small,Golden,India,Highly Trained,Low,143.0
Hamster,Chinese,6,Male,Sick,Medium,Mixed,USA,Untrained,High,115.5
Dog,Poodle,7,Female,Vaccinated,Medium,Black,Canada,Highly Trained,High,461.5
Hamster,Roborovski,4,Male,Vaccinated,Large,Brown,India,Untrained,Low,75.0
Hamster,Dwarf,4,Male,Vaccinated,Large,Grey,Canada,Basic Training,Low,75.0
Bird,Macaw,11,Male,Special Needs,Small,White,Australia,Basic Training,Low,52.5
Dog,Labrador,13,Male,Healthy,Small,Spotted,Germany,Untrained,High,365.0
Dog,Beagle,15,Female,Vaccinated,Small,Golden,Australia,Basic Training,Medium,325.0
Hamster,Chinese,14,Male,Vaccinated,Small,Mixed,Canada,Untrained,Medium,135.0
Dog,Bulldog,7,Female,Sick,Large,Mixed,France,Highly Trained,Medium,295.75
Dog,Poodle,4,Male,Vaccinated,Large,Grey,Australia,Untrained,Medium,310.0
Hamster,Roborovski,4,Male,Healthy,Large,White,USA,Well Trained,High,227.5
Cat,Siamese,11,Male,Healthy,Large,Brown,Australia,Well Trained,Medium,318.5
Hamster,Roborovski,12,Female,Special Needs,Small,Black,Germany,Untrained,High,87.5
Hamster,Syrian,13,Female,Sick,Large,Black,France,Basic Training,High,154.0
Cat,Bengal,6,Female,Healthy,Medium,Grey,India,Basic Training,Low,150.0
Hamster,Syrian,4,Female,Vaccinated,Medium,White,Germany,Untrained,Medium,105.0
Cat,Maine Coon,7,Male,Sick,Small,White,Canada,Highly Trained,Medium,168.35
Dog,Golden Retriever,15,Female,Healthy,Small,Black,UK,Untrained,Low,275.0
Dog,Golden Retriever,11,Female,Special Needs,Large,Grey,India,Untrained,Medium,172.5
Cat,Bengal,15,Male,Vaccinated,Medium,Brown,Germany,Basic Training,Medium,245.0
Dog,Poodle,15,Male,Sick,Large,Grey,Canada,Highly Trained,High,377.65
Bird,Canary,1,Female,Healthy,Large,Mixed,India,Highly Trained,High,253.5
Cat,Sphynx,2,Female,Vaccinated,Large,Grey,India,Basic Training,Medium,200.0
Dog,Labrador,8,Female,Sick,Large,Spotted,France,Well Trained,Medium,300.3
Dog,Bulldog,9,Female,Special Needs,Large,Brown,UK,Basic Training,High,192.5
Dog,Labrador,10,Male,Vaccinated,Small,Brown,Canada,Untrained,High,350.0
Dog,Golden Retriever,5,Female,Healthy,Small,White,Germany,Well Trained,Medium,357.5
Hamster,Syrian,8,Male,Special Needs,Medium,Golden,France,Basic Training,Low,37.5
Rabbit,Holland Lop,4,Female,Vaccinated,Small,Black,UK,Untrained,High,150.0
Bird,Macaw,9,Male,Sick,Large,Mixed,Canada,Highly Trained,Medium,168.35
Cat,Persian,12,Male,Healthy,Medium,Spotted,Germany,Well Trained,Medium,299.0
Cat,Bengal,12,Male,Vaccinated,Large,Brown,Canada,Highly Trained,High,390.0
Bird,Canary,8,Female,Special Needs,Small,Spotted,USA,Untrained,Medium,70.0
Cat,Bengal,7,Male,Healthy,Large,Black,Canada,Highly Trained,High,357.5
Bird,Finch,8,Female,Special Needs,Small,Spotted,USA,Basic Training,Medium,70.0
Bird,Cockatiel,4,Male,Special Needs,Large,Black,UK,Well Trained,Medium,104.0
Bird,Macaw,11,Male,Sick,Medium,Mixed,France,Untrained,High,157.5
Hamster,Roborovski,5,Male,Special Needs,Medium,Mixed,India,Well Trained,High,104.0
Rabbit,Mini Rex,13,Female,Healthy,Large,Golden,Australia,Basic Training,High,235.0
Hamster,Chinese,15,Female,Vaccinated,Large,Brown,USA,Basic Training,Low,130.0
Dog,Golden Retriever,9,Female,Special Needs,Small,Black,Canada,Highly Trained,Low,159.25
Hamster,Campbell's,6,Male,Special Needs,Large,Brown,India,Untrained,Medium,67.5
Hamster,Chinese,15,Female,Sick,Large,Spotted,USA,Well Trained,High,209.3
Cat,Bengal,3,Male,Special Needs,Small,Golden,India,Highly Trained,Low,74.75
Dog,Beagle,9,Male,Special Needs,Large,White,Germany,Well Trained,High,250.25
Hamster,Campbell's,4,Female,Vaccinated,Large,Mixed,USA,Basic Training,Low,75.0
Dog,Labrador,3,Female,Sick,Small,Brown,India,Well Trained,Low,195.65
Rabbit,Angora,15,Female,Special Needs,Medium,White,Canada,Highly Trained,High,146.25
Rabbit,Netherland Dwarf,1,Female,Special Needs,Small,White,Australia,Untrained,Medium,42.5
Hamster,Chinese,8,Male,Sick,Medium,Golden,Canada,Basic Training,Medium,87.5
Dog,Poodle,8,Male,Special Needs,Small,White,Canada,Highly Trained,Low,156.0
Bird,Cockatiel,2,Male,Sick,Large,White,Australia,Highly Trained,High,182.0
Bird,Finch,9,Female,Special Needs,Large,Spotted,Germany,Untrained,High,117.5
Rabbit,Holland Lop,6,Female,Sick,Small,Spotted,Germany,Basic Training,High,112.0
Dog,Bulldog,7,Male,Sick,Small,White,USA,Untrained,Low,164.5
Dog,Poodle,1,Male,Sick,Small,Black,UK,Well Trained,Medium,232.05
Rabbit,Holland Lop,4,Male,Vaccinated,Large,White,Australia,Untrained,High,190.0
Rabbit,Angora,9,Male,Special Needs,Small,Mixed,India,Untrained,Medium,62.5
Bird,Finch,10,Male,Special Needs,Small,Mixed,France,Untrained,Low,50.0
Dog,Labrador,14,Female,Special Needs,Large,Brown,Germany,Untrained,High,205.0
Dog,Poodle,14,Male,Special Needs,Large,Spotted,Australia,Basic Training,Medium,180.0
Hamster,Chinese,12,Male,Vaccinated,Medium,Mixed,UK,Basic Training,High,195.0
Bird,Macaw,1,Female,Healthy,Large,Golden,UK,Well Trained,Medium,188.5
Bird,Canary,3,Male,Sick,Small,Brown,Australia,Untrained,High,115.5
Hamster,Campbell's,12,Male,Special Needs,Medium,Spotted,France,Well Trained,High,126.75
Rabbit,Holland Lop,14,Male,Healthy,Medium,Black,Canada,Untrained,High,220.0
Rabbit,Flemish Giant,10,Female,Vaccinated,Large,White,Australia,Untrained,High,220.0
Rabbit,Mini Rex,15,Male,Healthy,Small,Black,France,Basic Training,Low,105.0
Rabbit,Holland Lop,7,Male,Vaccinated,Large,Brown,UK,Highly Trained,High,266.5
Hamster,Syrian,10,Male,Sick,Small,White,Canada,Basic Training,Low,45.5
Rabbit,Netherland Dwarf,5,Male,Healthy,Small,Golden,UK,Basic Training,Low,55.0
Dog,Beagle,1,Male,Healthy,Large,Brown,France,Untrained,High,345.0
Bird,Canary,8,Male,Sick,Small,Spotted,India,Basic Training,High,133.0
Dog,Labrador,6,Male,Sick,Large,Black,UK,Well Trained,Medium,291.2
Rabbit,Holland Lop,5,Male,Healthy,Medium,Black,Germany,Highly Trained,Medium,162.5
Cat,Siamese,6,Male,Sick,Large,Mixed,France,Basic Training,High,189.0
Dog,Bulldog,9,Male,Special Needs,Medium,White,India,Well Trained,Medium,204.75
Rabbit,Angora,14,Female,Sick,Small,Mixed,India,Highly Trained,Medium,136.5
Hamster,Campbell's,15,Female,Special Needs,Small,Grey,UK,Well Trained,Low,58.5
Rabbit,Mini Rex,14,Male,Vaccinated,Small,White,USA,Basic Training,Low,100.0
Dog,Golden Retriever,10,Female,Vaccinated,Large,Black,Australia,Basic Training,Low,290.0
Hamster,Dwarf,10,Female,Vaccinated,Small,Golden,France,Basic Training,Low,65.0
Rabbit,Netherland Dwarf,2,Female,Sick,Large,Grey,UK,Highly Trained,High,163.8
Hamster,Roborovski,12,Male,Special Needs,Medium,Spotted,Canada,Well Trained,Medium,94.25
Dog,Poodle,8,Male,Special Needs,Small,Brown,France,Basic Training,Low,120.0
Bird,Macaw,9,Male,Special Needs,Small,Mixed,USA,Untrained,Low,47.5
Dog,Golden Retriever,3,Female,Vaccinated,Small,Spotted,Australia,Highly Trained,High,409.5
Dog,Bulldog,6,Female,Sick,Medium,Black,Canada,Well Trained,Low,227.5
Cat,Persian,7,Male,Vaccinated,Medium,Black,India,Highly Trained,Low,201.5
Cat,Siamese,5,Female,Vaccinated,Medium,Golden,Germany,Highly Trained,High,318.5
Dog,Labrador,10,Female,Special Needs,Small,Brown,Australia,Well Trained,High,227.5
Bird,Cockatiel,10,Female,Sick,Medium,Grey,Germany,Highly Trained,Low,109.2
Dog,Beagle,3,Female,Sick,Medium,Grey,Germany,Well Trained,Medium,259.35
Hamster,Chinese,3,Male,Sick,Small,White,Australia,Basic Training,High,91.0
Rabbit,Angora,5,Female,Vaccinated,Small,Mixed,Australia,Highly Trained,Low,71.5
Dog,Golden Retriever,12,Female,Healthy,Small,Brown,Germany,Basic Training,Low,260.0
Hamster,Chinese,5,Female,Special Needs,Large,White,Australia,Untrained,Medium,65.0
Bird,Macaw,6,Female,Special Needs,Large,Golden,Germany,Highly Trained,High,143.0
Dog,Beagle,1,Male,Special Needs,Medium,White,UK,Untrained,Medium,137.5
Rabbit,Flemish Giant,12,Female,Healthy,Large,Mixed,Australia,Basic Training,High,230.0
Dog,Golden Retriever,11,Female,Healthy,Small,Brown,Canada,Highly Trained,Medium,396.5
Bird,Canary,2,Female,Vaccinated,Large,Spotted,France,Basic Training,Low,100.0
